date,TIMESTAMP_START,TIMESTAMP_END,USTAR,TA,WD,WS,NEE_PI,FC,SC,H,SH,LE,SLE,G,TS_1,TS_2,P,RH,PA,CO2_1,CO2_2,VPD_PI,SWC_1,SWC_2,NETRAD,PPFD_IN,SW_IN,SW_DIF,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,RECO_PI,APAR,PPFD_DIF,FAPAR,ZL,timestamp
2011-05-25T00:00:00Z,201105251150,201105251566.66666,0.38973913043478264,8.644416666666666,113.26521739130435,2.706086956521739,-0.8365833333333333,-0.1700869565217391,-0.08395833333333336,64.19839130434782,NaN,41.833608695652174,NaN,NaN,13.927833333333334,NaN,0.1125,78.88304166666667,98.45425,393.1490416666667,393.1490416666667,0.26745833333333335,9.735583333333334,NaN,118.99479166666667,421.7710833333333,190.73820833333335,NaN,NaN,27.650083333333335,311.8704583333333,355.9644583333333,8.958541666666667,2.6513333333333335,NaN,NaN,NaN,NaN,2011-05-25T15:30:00Z
2011-05-26T00:00:00Z,201105261150,201105261566.66666,0.7074166666666667,9.208458333333333,303.1687083333333,4.341208333333333,-1.1833749999999998,-1.1833749999999998,0.12383333333333332,124.66058333333334,NaN,63.16725,NaN,NaN,13.779166666666667,NaN,0,57.401125,98.43791666666667,393.62783333333334,393.62783333333334,0.5237083333333333,9.370875,NaN,204.9365,664.51025,316.652125,NaN,NaN,46.276583333333335,295.59020833333335,361.03004166666665,6.726333333333333,2.4094444444444445,NaN,259.33472727272726,NaN,NaN,2011-05-26T15:30:00Z
2011-05-27T00:00:00Z,201105271150,201105271566.66666,0.5715,11.336166666666667,79.338,4.09175,-0.35852631578947375,0.052999999999999964,-0.1996666666666667,116.49345833333334,NaN,40.18695833333334,NaN,NaN,14.072958333333334,NaN,0,52.11954166666667,98.79158333333334,392.29633333333334,392.29633333333334,0.6930416666666667,8.96875,NaN,209.84104166666668,739.9521666666667,348.47520833333334,NaN,NaN,52.50058333333333,284.93675,371.07158333333336,6.928375,5.46925,NaN,145.83929166666667,NaN,NaN,2011-05-27T15:30:00Z
2011-05-28T00:00:00Z,201105281150,201105281566.66666,0.5123333333333333,13.707041666666667,158.80133333333333,3.7321666666666666,-3.047142857142857,-0.5512916666666666,0.2967916666666667,16.243625,NaN,26.485041666666667,NaN,NaN,14.961958333333333,NaN,0.1,80.24516666666666,97.999,393.72229166666665,393.72229166666665,0.3289166666666667,8.942708333333334,NaN,73.12216666666667,268.8005416666667,124.6575,NaN,NaN,19.53933333333333,347.601875,379.6232083333333,12.906875,4.139,NaN,197.67249999999999,NaN,NaN,2011-05-28T15:30:00Z
2011-05-29T00:00:00Z,201105291150,201105291566.66666,0.42566666666666664,16.846,196.04675,3.092,-3.1082105263157893,-2.5144166666666665,0.10720833333333332,47.651250000000005,NaN,48.45433333333333,NaN,NaN,17.0325,NaN,0.06041666666666667,71.00733333333334,98.42941666666667,392.516125,392.516125,0.6077083333333333,8.69375,NaN,129.60779166666666,496.8650434782609,227.21169565217392,NaN,NaN,36.151391304347825,344.66770833333334,398.08870833333333,13.550541666666666,3.9656000000000002,NaN,309.52575,NaN,NaN,2011-05-29T15:30:00Z
2011-05-30T00:00:00Z,201105301150,201105301566.66666,0.36870833333333336,18.230875,62.392583333333334,3.4367083333333333,-1.9917857142857143,-0.10499999999999995,0.187875,42.53041666666667,NaN,43.26166666666667,NaN,NaN,18.654916666666665,NaN,0,73.36087500000001,98.91275,393.264125,393.264125,0.613375,8.489625,NaN,163.81204166666666,519.3455,237.421,NaN,NaN,35.27954166666667,367.522,405.8521666666667,15.438333333333333,9.272,NaN,269.709875,NaN,NaN,2011-05-30T15:30:00Z
2011-05-31T00:00:00Z,201105311150,201105340316.66666,0.77325,24.101208333333332,173.45525,5.538875,-0.72675,-0.3882083333333334,-0.22854166666666664,21.91725,NaN,80.64220833333333,NaN,NaN,18.096,NaN,0.1,71.18279166666667,98.50479166666666,394.41629166666667,394.41629166666667,0.985875,8.173083333333334,NaN,156.57425,571.5772083333334,259.4139583333333,NaN,NaN,41.875375,375.875125,438.37370833333335,21.54925,6.9006,NaN,340.8054705882353,NaN,NaN,2011-05-31T15:30:00Z
2011-06-01T00:00:00Z,201106011150,201106011566.66666,1.3015416666666666,15.412375,241.90766666666667,7.629625,-2.3940416666666664,-2.3940416666666664,0.042749999999999996,86.47554166666667,NaN,79.88741666666667,NaN,NaN,14.28225,NaN,0,53.06283333333333,98.55845833333333,388.87875,388.87875,0.8417916666666666,7.907333333333334,NaN,177.89075,667.6660833333333,310.81583333333333,NaN,NaN,49.921,308.2300416666667,391.233875,9.427041666666668,6.8325555555555555,NaN,NaN,NaN,NaN,2011-06-01T15:30:00Z
2011-06-02T00:00:00Z,201106021150,201106021566.66666,0.4959166666666667,12.276916666666667,259.67608333333334,2.9581666666666666,-5.223105263157895,-3.8765,0.14979166666666666,122.90570833333334,NaN,73.98575,NaN,NaN,12.688083333333333,NaN,0,55.75183333333333,99.48891666666667,388.6542083333333,388.6542083333333,0.7103333333333334,7.510416666666667,NaN,207.72616666666667,770.30925,363.97925,NaN,NaN,58.08983333333333,277.7669583333333,375.93041666666664,7.844541666666666,3.7190000000000003,NaN,NaN,NaN,NaN,2011-06-02T15:30:00Z
2011-06-03T00:00:00Z,201106031150,201106031566.66666,0.397125,17.243125,119.77966666666667,3.807375,-3.419875,-2.0612916666666665,-0.012666666666666633,2.424833333333334,NaN,58.504,NaN,NaN,12.631541666666667,NaN,0.004166666666666667,61.16529166666667,99.10129166666667,391.29266666666666,391.29266666666666,0.8827083333333333,7.216666666666667,NaN,110.64866666666667,399.5469166666667,183.43616666666668,NaN,NaN,30.062208333333334,356.14525000000003,398.87120833333336,12.009666666666666,7.118333333333333,NaN,NaN,NaN,NaN,2011-06-03T15:30:00Z
