date,TIMESTAMP_START,TIMESTAMP_END,USTAR,TA,WD,WS,NEE_PI,FC,SC,H,SH,LE,SLE,G,TS_1,TS_2,P,RH,PA,CO2_1,CO2_2,VPD_PI,SWC_1,SWC_2,NETRAD,PPFD_IN,SW_IN,SW_DIF,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,RECO_PI,APAR,PPFD_DIF,FAPAR,ZL,timestamp
2011-08-15T00:00:00Z,201108181150,201108181566.66666,0.35582142857142857,20.34180357142857,222.7656845238095,3.0396130952380953,-11.828896551724139,-5.433773809523809,-0.008499999999999999,32.87395238095238,NaN,105.5948630952381,NaN,NaN,17.932934523809525,NaN,0.005952380952380953,68.86888095238095,98.55548214285714,374.42084523809524,374.42084523809524,0.8042678571428571,4.881547619047619,NaN,146.08255688622754,523.9650059523809,249.66142857142856,NaN,NaN,39.56304761904762,350.60960479041916,414.81482035928144,16.52125595238095,6.0649999999999995,NaN,168.95329761904762,NaN,NaN,2011-08-18T15:30:00Z
2011-08-22T00:00:00Z,201108251150,201108251566.66666,0.5060975609756098,18.975958333333335,247.15268902439024,3.972280487804878,-7.581785046728972,-4.524640243902439,0.01222619047619047,19.225731707317074,NaN,76.85189024390245,NaN,NaN,17.14225,NaN,0.08035714285714286,70.71916666666667,98.32752976190476,376.63160714285715,376.63160714285715,0.6865,5.250452380952381,NaN,121.81772891566266,445.23077844311376,216.35419161676646,NaN,NaN,35.32452095808383,347.5240903614458,407.5496347305389,15.812464285714286,5.26692,NaN,162.57100595238094,NaN,NaN,2011-08-25T15:30:00Z
2011-08-29T00:00:00Z,201108715435.7143,201108719959.5238,0.44591071428571427,20.156208333333332,180.18443452380953,3.5107142857142857,-5.318020408163266,-2.9179642857142856,0.01480722891566265,15.518357142857143,NaN,54.433303571428574,NaN,NaN,17.995755952380954,NaN,0.2017857142857143,78.79621428571429,98.53817261904761,381.5540476190476,381.5540476190476,0.5365892857142858,5.551523809523809,NaN,108.18698203592814,371.5628095238095,179.8340119047619,NaN,NaN,28.541208333333334,371.13993413173654,415.26638323353296,19.128654761904762,4.936028571428571,NaN,172.80218452380953,NaN,NaN,2011-09-01T15:30:00Z
2011-09-05T00:00:00Z,201109081150,201109081566.66666,0.36682738095238093,16.578291666666665,213.73179761904763,3.150684523809524,-9.199512195121951,-3.7880238095238097,-0.14282119205298013,36.8530551724138,NaN,81.89836551724137,NaN,NaN,15.092196428571429,NaN,0,67.46444642857143,99.07932142857143,378.5790620689655,378.5790620689655,0.6897202380952381,6.568333333333333,NaN,119.23761676646707,501.4695892857143,239.1768630952381,NaN,NaN,39.09786904761905,315.1890479041916,393.10108383233535,13.612303448275862,4.683857142857143,NaN,113.7825,NaN,NaN,2011-09-08T15:30:00Z
2011-09-12T00:00:00Z,201109151150,201109151566.66666,0.46145833333333336,12.694565476190476,199.9286130952381,3.758714285714286,-6.527183486238532,-4.188607142857143,-0.029678571428571422,21.964502994011976,NaN,53.79104761904762,NaN,NaN,13.51189880952381,NaN,0.03630952380952381,68.93645833333333,99.13419642857143,379.4420119047619,379.4420119047619,0.5111785714285714,5.443309523809524,NaN,90.82717365269461,379.43852976190476,189.09680952380953,NaN,NaN,32.57510714285714,306.64543113772453,373.30680239520956,10.673255952380952,3.772944444444444,NaN,157.92389880952382,NaN,NaN,2011-09-15T15:30:00Z
2011-09-19T00:00:00Z,201109221150,201109221566.66666,0.3709483870967742,14.025571428571428,166.25725161290322,3.198451612903226,-4.36468085106383,-2.559632258064516,0.05798809523809525,6.041116883116883,NaN,40.58068387096774,NaN,NaN,13.398119047619048,NaN,0.22916666666666666,82.61174074074074,98.71389880952381,388.08604761904763,388.08604761904763,0.3028827160493827,9.393101190476191,NaN,71.4256626506024,273.3564285714286,131.92750595238095,NaN,NaN,21.39019161676647,341.3525060240964,379.63272891566265,13.392505952380953,4.156763157894737,NaN,141.5631011904762,NaN,NaN,2011-09-22T15:30:00Z
2011-09-26T00:00:00Z,201109491150,201109495733.33334,0.48156666666666664,11.819732142857143,203.44434,3.437186666666667,-2.598,-1.79666,0.04463095238095239,7.5760884353741496,NaN,31.703466666666667,NaN,NaN,12.441845238095238,NaN,0.31607142857142856,83.61497530864197,98.47420238095238,390.6070535714286,390.6070535714286,0.22709876543209878,10.459440476190476,NaN,56.96240119760479,238.84361904761906,115.77660119047619,NaN,NaN,19.057065476190477,328.1644251497006,368.6317904191617,12.210946428571429,3.9253947368421054,NaN,121.93830357142858,NaN,NaN,2011-09-29T15:30:00Z
2011-10-03T00:00:00Z,201110061150,201110061566.66666,0.34808333333333336,17.42707738095238,173.59011309523808,3.263,-1.315525,-0.5864583333333333,0.028419161676646713,9.783291666666667,NaN,43.920029761904765,NaN,NaN,13.03482738095238,NaN,0,61.45442857142857,99.6044880952381,390.4573154761905,390.4573154761905,0.8752440476190476,7.599315476190476,NaN,69.85674404761905,373.7622083333333,178.3790238095238,NaN,NaN,30.895869047619048,317.8922678571429,395.3661845238095,11.859732142857142,4.009241379310345,NaN,100.95678625954199,NaN,NaN,2011-10-06T15:30:00Z
2011-10-10T00:00:00Z,201110131150,201110131566.66666,0.5156644295302013,13.975047619047618,148.1225234899329,4.086859060402684,1.970469135802469,1.7835503355704698,-0.060083832335329344,-7.978108843537415,NaN,32.09627516778524,NaN,NaN,13.433369047619047,NaN,0.18928571428571428,71.14660736196319,97.78702395209581,397.25625,397.25625,0.5440061349693252,7.791565476190476,NaN,36.357149700598804,209.60329761904762,100.62349404761905,NaN,NaN,16.292595238095238,331.24776646706584,380.2512335329341,11.665434523809523,3.4282439024390245,NaN,NaN,NaN,NaN,2011-10-13T15:30:00Z
2011-10-17T00:00:00Z,201110201150,201110201566.66666,0.655327380952381,7.082976190476191,221.18933333333334,4.485833333333333,1.4394358974358974,1.0198035714285714,0.03957142857142858,5.3576726190476185,NaN,13.400333333333334,NaN,NaN,9.094035714285715,NaN,0.2880952380952381,76.70403571428571,98.03286904761904,393.3304642857143,393.3304642857143,0.2602738095238095,10.02985119047619,NaN,31.80917857142857,171.3680303030303,81.85683333333333,NaN,NaN,12.429820359281438,307.11399404761903,344.711625,7.814708333333334,2.2199411764705883,NaN,NaN,NaN,NaN,2011-10-20T15:30:00Z
